variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
modified,independent,0.25,100,normal,0.0,0.038,0.019390719429665318,0.03,0.006324555320336759,0.038,0.019390719429665318,,,100.0
original,moderate,0.25,100,normal,0.0,0.066,0.01854723699099141,0.0,0.0,0.066,0.01854723699099141,,,100.0
modified,moderate,0.25,100,normal,0.0,0.044,0.008,0.027999999999999997,0.003999999999999999,0.044,0.008,,,100.0
original,strong,0.25,100,normal,0.0,0.054000000000000006,0.008,0.0,0.0,0.054000000000000006,0.008,,,100.0
modified,strong,0.25,100,normal,0.0,0.044,0.004898979485566357,0.018,0.0132664991614216,0.044,0.004898979485566357,,,100.0
original,independent,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.25,100,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.0,500,normal,0.0,0.033999999999999996,0.01019803902718557,0.0,0.0,0.033999999999999996,0.01019803902718557,,,100.0
modified,independent,0.0,500,normal,0.0,0.028000000000000004,0.0116619037896906,0.012,0.0116619037896906,0.028000000000000004,0.0116619037896906,,,100.0
original,moderate,0.0,500,normal,0.0,0.042,0.016,0.0,0.0,0.042,0.016,,,100.0
modified,moderate,0.0,500,normal,0.0,0.030000000000000006,0.010954451150103323,0.026000000000000002,0.010198039027185569,0.030000000000000006,0.010954451150103323,,,100.0
original,strong,0.0,500,normal,0.0,0.046,0.017435595774162697,0.0,0.0,0.046,0.017435595774162697,,,100.0
modified,strong,0.0,500,normal,0.0,0.036000000000000004,0.01019803902718557,0.034,0.01019803902718557,0.036000000000000004,0.01019803902718557,,,100.0
original,independent,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.1,500,normal,0.0,0.05600000000000001,0.027276363393971714,0.0,0.0,0.05600000000000001,0.027276363393971714,,,100.0
modified,independent,0.1,500,normal,0.0,0.038000000000000006,0.024819347291981715,0.030000000000000006,0.010954451150103323,0.038000000000000006,0.024819347291981715,,,100.0
original,moderate,0.1,500,normal,0.0,0.04,0.02,0.0,0.0,0.04,0.02,,,100.0
modified,moderate,0.1,500,normal,0.0,0.03,0.01414213562373095,0.016,0.01624807680927192,0.03,0.01414213562373095,,,100.0
original,strong,0.1,500,normal,0.0,0.044000000000000004,0.008000000000000002,0.0,0.0,0.044000000000000004,0.008000000000000002,,,100.0
modified,strong,0.1,500,normal,0.0,0.030000000000000006,0.006324555320336759,0.022000000000000002,0.0116619037896906,0.030000000000000006,0.006324555320336759,,,100.0
original,independent,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.25,500,normal,0.0,0.038,0.018330302779823362,0.0,0.0,0.038,0.018330302779823362,,,100.0
modified,independent,0.25,500,normal,0.0,0.026000000000000002,0.013564659966250536,0.026000000000000002,0.01854723699099141,0.026000000000000002,0.013564659966250536,,,100.0
original,moderate,0.25,500,normal,0.0,0.05,0.016733200530681513,0.0,0.0,0.05,0.016733200530681513,,,100.0
modified,moderate,0.25,500,normal,0.0,0.036,0.0233238075793812,0.032,0.017204650534085254,0.036,0.0233238075793812,,,100.0
